 	филактерий		филакте'рій (подвя'зываемый ко лбу' евре'ями во вре'мя моли'твы ко'жаный коробо'къ съ перга'ментнымъ листо'мъ, на кото'ромъ напи'саны 10 за'повѣдей)	 
 	филалеты		филале'ты («друзья' и'стины», чле'ны масо'нской ло'жи)	 
 	филантропия		филантро'пія (благотвори'тельность)	 
 	Филарет		Филаре'тъ	 
 	филармонический		филармони'ческій	 
 	филармония		филармо'нія	 
 	филателия		филателі'я	 
 	филе		филе' (вя'занная сѣ'ткою рабо'та; тѣ'сто, нарѣ'занное дли'нными и у'зкими куска'ми), но филе'й, филе'я (мя'со)	 
 	филей		филе'й, филе'я (мя'со), но филе' (вя'занная сѣ'ткою рабо'та; тѣ'сто, нарѣ'занное дли'нными и у'зкими куска'ми)	 
 	Филемон		Филемо'нъ	 
 	филёнка		филёнка (деревя'нный щи'тъ, кото'рый вставля'ется въ ра'му и укрѣпля'ется на шпо'нкахъ)	 
 	филёночный		филёночный	 
 	филёнчатый		филёнчатый	 
 	филёр		филёръ	 
 	филиал		филіа'лъ	 
 	филиация		филіа'ція	 
 	филигрань		филегранъ (то'нкая худо'жественная рабо'та изъ золото'й, сере'бряной и мѣ'дной про'волоки)	 
 	Филимон		Филимо'нъ	 
 	филин		фи'линъ	 
 	Филипий		Фили'пій	 
 	Филипп		Фили'ппъ (не Филли'пъ!)	 
 	Филиппенко		Фили'ппенко	 
 	филиппика		фили'ппика (назва'ніе горя'чихъ обличи'тельныхъ рѣче'й)	 
 	Филиппины		Филиппи'ны, филиппи'нецъ, филиппи'нка	 
 	Филиппов		Фили'пповъ Фили'ппъ Фили'пповичъ, о Фили'пповѣ Фили'ппѣ Фили'пповичѣ	 
 	филипповец		фили'пповецъ	 
 	Филипповки		Фили'пповки	 
 	Филипповна		Наста'сья Фили'пповна	 
 	Филипполис		Фили'пполисъ	 
 	филистер		фили'стеръ (презри'тельное назва'ніе лица' съ ограни'ченнымъ міросозерца'ніемъ), не филистёръ!	 
 	филистимлянин		филисти'млянинъ, филисти'мляне, филисти'млянъ	 
 	филоксера		филоксе'ра	 
 	Филоктет		Филокте'тъ	 
 	филология		фило'логія	 
 	Филомела		Филоме'ла	 
 	философ		фило'софъ, о фило'софѣ	 
 	философема		философе'ма (филосо'фская систе'ма)	 
 	философия		филосо'фія	 
 	философский		филосо'фскій, философи'ческій	 
 	Филофей		Филоѳе'й	 
 	фильдекос		фильдеко'съ (то'нкій бума'жный бати'стъ)	 
 	фильтр		фильтръ	 
 	Филя		Фи'ля	 
 	фимиам		ѳиміамъ	 
 	финал		фина'лъ, въ фина'лѣ	 
 	финансы		фина'нсы	 
 	финикийский		финикі'йскій, финикі'йскаго	 
 	Финикия		Финикі'я	 
 	Финистер		Финисте'ръ	 
 	финифть		фини'фть	 
 	финишёр		финишёръ	 
 	Финляндия		Финля'ндія	 
 	финляндское		финля'ндское (кня'жество), финля'ндскаго	 
 	Финмаркен		Финма'ркенъ	 
 	финские		фи'нскіе (м. р.), фи'нскія (ж. р. и ср. р.)	 
 	Финский		Фи'нскій (зали'въ)	 
 	финское		фи'нское, фи'нскаго	 
 	фиолетовый		фіоле'товый	 
 	Фиония		Фіо'нія	 
 	Фиоравенти		Фіораве'нти	 
 	фиорд		фіо'рдъ, фьо'рдъ (глубоко' вдаю'щіеся въ матери'къ у'зкіе зали'вы по берега'мъ Шве'ціи, Норве'гіи и Да'ніи)	 
 	фиоритура		фіориту'ра (то же, что колорату'ра)	 
 	Фирвальдштетское		Фирвальдште'дтское (о'зеро)	 
 	фирма		фи'рма, въ фи'рмеѣ	 
 	фирменного		фи'рменнаго	 
 	фирменное		фи'рменное	 
 	фирменные		фи'рменные (м. р.), фи'рменныя (ж. р. и ср. р.)	 
 	фирменный		фи'рменный, фи'рменнаго	 
 	Фирс		Ѳи'рсъ	 
 	фисгармония		фисгармо'нія	 
 	фисташка		фиста'шка	 
 	фистула		фи'стула (мед.), фистула' (муз.)	 
 	фита		Ѳ — ѳита' — три'дцать четвёртая бу'ква ру'сской а'збуки	 
 	фитилёк		фитилёкъ	 
 	Фиуме		Фіу'ме	 
 	Фихте		Фи'хте	 
 	Фихтельгебирге		Фихтельгеби'рге	 
 	Фицджеральд		Фицджера'льдъ	 
 	Фишер		Фи'шеръ	 
фл 	Флавиан		Флавіа'нъ	^
 	Флавий		Фла'вій	 
 	флаг		фла'гъ	 
 	флагман		фла'гманъ (лицо', имѣ'ющее пра'во подня'ть на су'днѣ сво'й фла'гъ)	 
 	флажолет		флажоле'тъ (ма'ленькій гобо'й въ объёмѣ дву'хъ окта'въ)	 
 	флакон		флако'нъ	 
 	фламинго		флами'нго	 
 	фланг		фла'нгъ, на фла'нгѣ, фла'нговый	 
 	Фландрия		Фла'ндрія	 
 	фланель		флане'ль (шерстяна'я ткань, пряма'я и'ли ки'перная, ма'ло ва'ленная, ворсо'ванная)	 
 	фланёр		фланёръ (человѣ'къ, гуля'ющій безъ опредѣлённой цѣ'ли и дѣ'ла)	 
 	фланец		фла'нецъ	 
 	фланкёр		фланкёръ	 
