га 	гавань		га'вань	^
 	гибче		ги'бче	 
 	гигант		гига'нтъ, гига'нтскій	 
 	гигиена		гигіе'на, гигіэ'на	 
 	гигиенический		гигіени'ческій и гигіени'чный	 
 	гигрометр		гигро'метръ (прибо'ръ для измѣре'нія вла'жности во'здуха)	 
 	гигроскопический		гигроскопи'ческій и гигроскопи'чный	 
 	гидрометеорология		гидрометеороло'гія, гидрометеорологи'ческій	 
 	гидротехника		гидроте'хника	 
 	гиена		гіе'на, гіэ'на (звѣ'рь), но гее'нна (адъ)	 
 	гиероглиф		гіеро'глифъ, іеро'глифъ	 
 	Гиерон		Гіеро'нъ	 
 	гильдия		ги'льдія (объедине'ніе купцо'въ и реме'сленниковъ; иму'щественные разря'ды внутри' купе'ческаго сосло'вія)	 
 	Гильотен		Гильоте'нъ	 
 	гильотина		гильоти'на (маши'на для обезгла'вливанія какъ спо'соба сме'ртной ка'зни), на гильоти'нѣ	 
 	гимназист		гимнази'стъ, гимнази'стка (ученики' въ гимна'зіи)	 
 	гимназические		гимнази'ческіе (м. р.), гимнази'ческія (ж. р. и ср. р.)	 
 	гимназический		гимнази'ческій, гимнази'ческаго	 
 	гимназическое		гимнази'ческое	 
 	гимназия		гимна'зія (общеобразова'тельное сре'днее уче'бное заведе'ніе), гимнази'стъ	 
 	гимнастёрка		гимнастёрка, въ гимнастёркѣ	 
 	Гименей		Гимене'й	 
 	гинекология		гинеколо'гія	 
 	гинея		гине'я (стари'нная англі'йская золота'я моне'та)	 
 	гипербола		гипе'рбола (чрезмѣ'рное преувеличе'ніе)	 
 	гиперболоид		гиперболо'идъ	 
 	Гиперборея		Гиперборе'я	 
 	Гиперборейские		Гиперборе'йскія (го'ры)	 
 	Гиперборейское		Гиперборе'йское (мо'ре)	 
 	гипнотизёр		гипнотизёръ	 
 	гипнотизм		гипноти'змъ	 
 	гипотеза		гипо'теза, въ гипо'тезѣ	 
 	гипотенуза		гипотену'за	 
 	гиппопотам		гиппопота'мъ	 
 	гирлянда		гирля'нда, въ гирля'ндѣ	 
 	Гиссен		Ги'ссенъ	 
 	гистерезис		гистере'зисъ	 
 	гитара		гита'ра, на гита'рѣ	 
гл 	глава		глава', во главѣ', ко главѣ'	^
 	главарь		глава'рь, о главарѣ'	 
 	главнейшая		главнѣ'йшая	 
 	главного		гла'внаго	 
 	главное		гла'вное	 
 	главнокомандующий		главнокома'ндующій	 
 	главные		гла'вные (м. р.), гла'вныя (ж. р. и ср. р.)	 
 	главный		гла'вный, гла'внаго	 
 	глагол		глаго'лъ, о глаго'лѣ	 
 	глаголем		глаго'лемъ (въ ви'дѣ бу'квы "Г"), домъ располо'женъ глаго'лемъ	 
 	глаголет		глаго'летъ (высокопа'рно говори'тъ), глаго'лешь, глаго'лать, глаго'лю; не глаго'литъ!; не глого'литъ!	 
 	глаголите		глаго'лите, глаго'лить; не глого'лить!	 
 	глаголица		глаго'лица, въ глаго'лицѣ, глаго'лицей, ко глаго'лицѣ	 
 	глаголический		глаголи'ческій, глаголи'ческаго	 
 	глаголь		Г — глаго'ль — четвёртая бу'ква ру'сской а'збуки	 
 	гладенький		гла'денькій	 
 	гладёхонький		гладёхонькій, гладёхонекъ	 
 	гладёшенький		гладёшенькій, гладёшенекъ	 
 	гладиатор		гладіа'торъ	 
 	гладкий		гла'дкій, гла'же	 
 	гладкошёрстный		гладкошёрстный	 
 	гладкошёрстый		гладкошёрстый	 
 	гладкощёкий		гладкощёкій	 
 	глаже		гла'же	 
 	глажен		гла'женъ	 
 	глаженный		гла'женный (пpич.)	 
 	глаженый		гла'женый (пpил.)	 
 	глаз		глазъ, въ глазу', о гла'зѣ	 
 	Глазго		Глэ'зго	 
 	глазеет		глазѣ'етъ, глазѣ'ете, глазѣ'емъ, глазѣ'ешь, глазѣ'ютъ	 
 	глазейте		глазѣ'йте	 
 	Глазенап		Глазена'пъ	 
 	глазёнки		глазёнки	 
 	глазет		глазе'тъ (стари'нная тка'нь ти'па парчи' съ цвѣтно'й шёлковой осно'вой и вы'тканными на ней золоты'ми и'ли сере'бряными узо'рами)	 
