 	тёр		тёръ	 
 	Терамен		Тераме'нъ	 
 	терапевт		терапе'втъ	 
 	терапия		терапі'я	 
 	тератология		тератоло'гія (уче'ніе объ уро'дствахъ)	 
 	тератома		терато'ма	 
 	тербий		те'рбій	 
 	Теребенёв		Теребенёвъ	 
 	теребить		тереби'ть	 
 	тереблённый		тереблённый	 
 	теревинф		тереви'нѳъ (терпенти'нное де'рево ро'да фиста'шекъ)	 
 	Тереза		Тере'за, Тере'зія	 
 	Терезия		Тере'зія	 
 	Терек		Те'рекъ	 
 	терем		те'ремъ	 
 	теремок		теремо'къ	 
 	Терентий		Тере'нтій	 
 	Терентьев		Тере'нтьевъ	 
 	Теренций		Тере'нцій	 
 	Тересполь		Тереспо'ль	 
 	тереть		тере'ть, тру, тре'ніе, тёрка	 
 	терзание		терза'ніе, терза'ніемъ, терза'нія	 
 	терзать		терза'ть	 
 	терзаться		терза'ться	 
 	тёрка		тёрка, на тёркѣ	 
 	тёрлась		тёрлась	 
 	термин		те'рминъ	 
 	терминал		термина'лъ	 
 	терминатор		термина'торъ (грани'ца свѣ'та и тѣ'ни на пове'рхности плане'ты)	 
 	терминизм		термини'змъ	 
 	терминировать		термини'ровать	 
 	терминология		терминоло'гія	 
 	терминологический		терминологи'ческій	 
 	Терминус		Те'рминусъ	 
 	термит		терми'тъ	 
 	термический		терми'ческій	 
 	термобарометр		термобаро'метръ	 
 	термограф		термо'графъ (самопи'шущій термо'метръ)	 
 	термодинамика		термодина'мика	 
 	термометр		термо'метръ (прибо'ръ для измере'нія температу'ры)	 
 	термоскоп		термоско'пъ (прибо'ръ для опредѣле'нія ра'зности температу'рь двухъ сосѣ'днихъ и недалеко' отстоя'щихъ другъ отъ дру'га то'чекъ)	 
 	термостат		термоста'тъ (прибо'ръ для поддержа'нія стро'го опредѣлённой температу'ры)	 
 	термоупрочнённый		термоупрочнённый	 
 	термы		те'рмы (дре'вне-ри'мскія обще'ственныя ба'ни)	 
 	тёрн		тёрнъ	 
 	терние		те'рніе, мн. ч. — те'рнія, те'рніевъ, те'рній, че'резъ те'рнія къ звѣ'здамъ (не те'рніи!)	 
 	тернистый		терни'стый	 
 	терния		те'рнія, че'резъ те'рнія къ звѣ'здамъ (не те'рніи!)	 
 	Терно		Терно'	 
 	терновник		терно'вникъ, те'ренъ, те'рнъ	 
 	терновый		терно'вый (вѣне'цъ)	 
 	тёрочный		тёрочный	 
 	Терпандр		Терпа'ндръ	 
 	терпёж		терпёжъ, но терпѣ'ть	 
 	терпел		терпѣ'лъ, терпѣ'ла, терпѣ'ли	 
 	терпение		терпѣ'ніе	 
 	терпением		терпѣ'ніемъ	 
 	терпентин		терпенти'нъ (смоли'стый сокъ, вытека'ющій изъ надрѣ'зовъ хво'йныхъ дере'вьевъ)	 
 	терпены		терпе'ны (эѳи'рныя масла')	 
 	терпеть		терпѣ'ть, но терпёжъ	 
 	терпеливо		терпѣли'во	 
 	терпеливого		терпѣли'ваго	 
 	терпеливую		терпѣли'вую	 
 	терпеливые		терпѣли'вые (м. р.), терпѣли'выя (ж. р. и ср. р.)	 
 	терпеливый		терпѣли'вый, терпѣли'ваго	 
 	терпелось		терпѣ'лось	 
 	терпи		терпи'	 
 	Терпигорев		Терпиго'ревъ	 
 	терпимее		терпи'мѣе	 
 	терпимо		терпи'мо	 
 	терпимого		терпи'маго	 
 	терпимое		терпи'мое	 
 	терпимость		терпи'мость (дома' терпи'мости — публи'чные дома', разрѣша'емые офиціа'льной вла'стью заведе'нія, въ кото'рыхъ публи'чныя же'нщины торгу'ютъ свои'мъ тѣ'ломъ)	 
 	терпит		те'рпитъ, те'рпимъ, те'рпишь, те'рпятъ	 
 	терпкий		те'рпкій	 
 	терпкость		те'рпкость (осо'бый ки'слый и вя'жущій вку'съ, сво'йственный недозрѣ'лымъ плода'мъ, тани'ну и пр.)	 
 	терплю		терплю'	 
 	Терпсихора		Терпсихо'ра	 
 	терпуг		те'рпугъ (желѣ'зный брусо'къ съ кру'пными насѣ'чками для соска'бливанія неро'вностей на деревя'нныхъ издѣ'ліяхъ)	 
 	терпя		терпя'	 
 	терпят		те'рпятъ	 
 	терракота		террако'та (худо'жественныя ва'зы, статуэ'тки, фри'зы, орна'менты изъ обожжённой гли'ны)	 
 	террариум		терра'рій (помѣще'нія для содержа'нія земново'дныхъ)	 
 	терраса		терра'са (горизонта'льно срѣ'занная возвы'шенность и'ли усту'пъ)	 
 	Террачина		Террачи'на	 
 	террикон		террико'нъ	 
 	территория		террито'рія	 
 	террор		терро'ръ, о терро'рѣ	 
 	террорист		террори'стъ	 
 	Терсит		Терси'тъ	 
 	Терская		Те'рская (о'бласть)	 
 	Терский		Те'рскій (бе'регъ)	 
 	Тертий		Те'ртій	 
 	Тертуллиан		Тертулліа'нъ	 
 	тёртый		тёртый	 
 	терц		те'рцъ	 
 	терцерон		терцеро'нъ (по'мѣсь европе'йца и мула'тки)	 
 	терцет		терце'тъ (музыка'льная пье'са для пѣ'нія на три го'лоса)	 
 	терция		те'рція	 
 	Терье		Терье'	 
 	терьер		террье'ръ	 
 	теряем		теря'емъ, теря'етъ, теря'ешь, теря'ютъ	 
 	терять		теря'ть	 
 	тёс		тёсъ (вы'пиленныя и вы'строганныя до'ски, толщино'ю въ дю'ймъ)	 
 	тесак		теса'къ	 
 	тёсанный		тёсанный	 
 	тесать		теса'ть (тёсъ)	 
 	тесёмка		тесёмка	 
 	тесен		тѣ'сенъ, какъ тѣ'сенъ міръ; тѣсна', тѣсны' и тѣ'сны	 
 	тёска		тёска	 
 	Тесла		Те'сла Ни'кола	 
 	тесление		тесле'ніе	 
 	теслённый		теслённый	 
 	теслить		тесли'ть	 
 	тесло		тесло' (пло'тничье ору'діе съ лёзомъ, поста'вленнымъ не вдо'ль топори'ща, какъ у топора', а поперёкъ), мн. тёсла, тёселъ, тёсламъ	 
 	теснее		тѣснѣ'е	 
 	теснейший		тѣснѣ'йшій	 
 	теснённый		тѣснённый	 
 	теснина		тѣсни'на	 
 	теснить		тѣсни'ть, тѣсни'ться	 
 	тесно		тѣ'сно	 
 	тесного		тѣ'снаго	 
 	тесное		тѣ'сное	 
 	теснота		тѣснота', въ тѣснотѣ да не въ оби'дѣ	 
 	тесные		тѣ'сные (м. р.), тѣ'сныя (ж. р. и ср. р.), тѣ'сными, въ тѣ'сныхъ	 
 	тесный		тѣ'сный, тѣ'снаго, тѣснѣ'йшій	 
 	тесовый		тесо'вый, тесо'ваго	 
 	тёсом		тёсомъ	 
 	Тессин		Тесси'нъ	 
 	тест		те'стъ, въ те'стѣ	 
 	тестимоний		тестимо'ній (удостовѣри'тельное свидѣ'тельство)	 
 	тестирование		тести'рованіе	 
 	тесто		тѣ'сто, въ тѣ'стѣ	 
 	тесть		те'сть, о те'стѣ	 
 	тесьма		тесьма'	 
 	тёсывал		тёсывалъ	 
 	тётей		тётей	 
 	тётенька		тётенька, къ тётенькѣ, тётенекъ	 
 	тетерев		те'теревъ, род. п. мн. ч. тетерево'въ и тетереве'й	 
 	тетеревёнок		тетеревёнокъ	 
 	тетериться		тете'риться (ду'ться, пы'житься, серди'ться, дичи'ться)	 
 	тетёрка		тетёрка	 
 	Тетеря		Тете'ря	 
 	тетёха		тетёха (доро'дная ба'бища)	 
 	тётечка		тётечка, къ тётечкѣ, тётечекъ	 
 	тетёшкать		тетёшкать	 
 	тётею		тётею	 
 	тетива		тетива' и тятива'	 
 	тётина		тётина	 
 	тётка		тётка, къ тёткѣ, тётокъ	 
 	тетрагон		тетраго'нъ (четырёхуго'льникъ)	 
