ра 	Рабле		Рабле'	^
 	разрозненный		разро'зненный, разро'зненнаго	 
 	разрушение		разруше'ніе	 
 	разрушитель		разруши'тель	 
 	разрыхлённый		разрыхлённый, разрыхлённаго	 
 	разряженный		разря'женный (наря'дный), разря'женнаго	 
 	разряжённый		разряжённый (напр. пистоле'тъ), разряжённаго	 
 	разубедить		разубѣди'ть	 
 	разубеждённый		разубѣждённый, разубѣждённаго	 
 	разувать		раззува'ть	 
 	разуверить		разувѣ'рить	 
 	разуверять		разувѣря'ть	 
 	разузнаешь		разузна'ешь	 
 	разукрупнённый		разукрупнённый, разукрупнённаго	 
 	разуме		въ своёмъ умѣ'-ра'зумѣ	 
 	разумеет		разумѣ'етъ	 
 	разумеете		разумѣ'ете	 
 	разумеется		разумѣ'ется	 
 	разумеешь		разумѣ'ешь	 
 	разумен		разу'менъ, но разумѣ'ніе	 
 	разумение		разумѣ'ніе, но разу'менъ	 
 	разуметь		разумѣ'ть, разумѣ'ется	 
 	разуметься		разумѣ'ться	 
 	разумею		разумѣ'ю, но разу'менъ	 
 	разумеющегося		разумѣ'ющагося	 
 	разумеющейся		разумѣ'ющейся	 
 	разумеющееся		разумѣ'ющееся	 
 	разумеющиеся		разумѣ'ющіеся (м. р.), разумѣ'ющіяся (ж. р. и ср. р.)	 
 	разумнее		разу'мнѣе, разу'менъ	 
 	разумное		разу'мное, разу'менъ	 
 	разумные		разу'мные (м. р.), разу'мныя (ж. р. и ср. р.)	 
 	разуплотнённый		разуплотнённый, разуплотнённаго	 
 	разъедать		разъѣда'ть	 
 	разъединение		разъедине'ніе	 
 	разъединённый		разъединённый	 
 	разъезд		разъѣ'здъ, въ разъѣ'здѣ	 
 	разъездной		разъѣздно'й, разъѣздно'го	 
 	разъезжает		разъѣзжа'етъ	 
 	разъезжать		разъѣзжа'ть	 
 	разъезжающий		разъѣзжа'ющій	 
 	разъёмистый		разъёмистый	 
 	разъёмный		разъёмный	 
 	разъёмщик		разъёмщикъ	 
 	разъярённый		разъярённый	 
 	разъяриться		разъяри'ться	 
 	разъяснённый		разъяснённый	 
 	разыграть		разыгра'ть (ра'нѣе — разъигра'ть), но ро'зыгрышъ	 
 	разыскание		разыска'ніе (ра'нѣе — разъиска'ніе), но ро'зыскъ	 
 	разыскать		разыска'ть (ра'нѣе — разъиска'ть), но ро'зыскъ	 
 	разыскивает		разы'скиваетъ (ра'нѣе — разъи'скиваетъ), но ро'зыскъ	 
 	рай		рай, ра'емъ, о ра'ѣ, въ раю'	 
 	райские		ра'йскіе (м. р.), ра'йскія (ж. р. и ср. р.)	 
 	райский		ра'йскій, ра'йскаго	 
 	райское		ра'йское	 
 	район		райо'нъ и раіо'нъ, въ райо'нѣ (не раёнъ :)	 
 	ракета		раке'та	 
 	ракетка		раке'тка	 
 	ракита		раки'та	 
 	рамена		рамена' (пле'чи) — уcтap.	 
 	Рамзес		Рамзе'съ	 
 	Раммельсберг		Раммельсбе'ргъ	 
 	Рангабе		Ранга'бе	 
 	рандеву		рандеву' (зара'нѣе усло'вленная встрѣ'ча, свида'ніе)	 
 	ранее		ра'нѣе (ра'ньше), но ра'ннее (у'тро)	 
 	Раненбург		Раненбу'ргъ	 
 	раненый		ра'неный (солда'тъ — пpил.), но ра'ненный (въ но'гу — пpич.)	 
 	ранет		ране'тъ и рене'тъ (сортъ я'блокъ съ сѣрова'тыми и'ли краснова'тыми пя'тнышками, о'чень со'чныхъ и сла'дкихъ)	 
 	ранетки		ране'тки (я'блоки со'рта ране'тъ)	 
 	ранёхонько		ранёхонько	 
 	ранец		ра'нецъ (ко'жаная су'мка, похо'жая на небольшо'й чемода'нъ, привѣ'шивается за плеча'ми)	 
 	ранёшенько		ранёшенько	 
 	Ранке		Ра'нке	 
 	раннего		ра'нняго	 
 	раннее		ра'ннее (у'тро), но ра'нѣе (ра'ньше)	 
 	ранней		ра'нней	 
 	ранние		ра'нніе (м. р.), ра'ннія (ж. р. и ср. р.)	 
 	ранний		ра'нній, ра'нняго	 
 	рантье		рантье' (капитали'стъ, человѣ'къ, живу'щій ре'нтой)	 
 	раньше		ра'ньше	 
 	рапе		рапе' (тёртый ню'хательный таба'къ)	 
 	рапорт		ра'портъ, въ ра'портѣ (пи'сьменное донесе'ніе подчинённаго лица' нача'льствующему)	 
 	рапсодия		рапсо'дія (музыка'льное произведе'ніе, имѣ'ющее въ основа'ніи наро'дные моти'вы и сюже'ты, воскреша'ющіе старину')	 
 	рапунцель		рапу'нцель (расте'ніе, приго'дное для сала'товъ)	 
 	раритет		рарите'тъ (рѣ'дкость)	 
 	раскабалённый		раскабалённый	 
 	расказнённый		расказнённый	 
 	раскалённый		раскалённый	 
 	раскаиваться		раска'иваться, раска'яться	 
 	раскаяние		раска'яніе, съ раска'яніемъ	 
 	раскидывать		раски'дывать	 
 	раскисление		раскисле'ніе	 
 	расклёванный		расклёванный	 
 	расклевать		расклева'ть	 
 	расклеенный		раскле'енный	 
 	расклеить		раскле'ить	 
 	расклеиться		раскле'иться	 
 	расклёпанный		расклёпанный	 
 	расклепать		расклепа'ть	 
 	расклёшенный		расклёшенный	 
 	расклинённый		расклинённый	 
 	расклюёшь		расклюёшь	 
 	раскол		раско'лъ, въ раско'лѣ	 
 	раскольник		раско'льникъ, о раско'льникѣ	 
 	раскольничье		раско'льничье	 
 	раскорчёванный		раскорчёванный	 
 	раскошелиться		раскоше'литься	 
 	раскошённый		раскошённый	 
 	раскраснеться		раскраснѣ'ться	 
 	раскрашенный		раскра'шенный	 
 	раскреплённый		раскрѣплённый	 
 	раскрепощённый		раскрѣпощённый	 
 	раскровенённый		раскровенённый	 
 	раскроенный		раскро'енный	 
 	раскрошенный		раскро'шенный	 
 	раскрываемость		раскрыва'емость	 
 	раскрывание		раскрыва'ніе, раскрыва'ніемъ	 
 	раскрывать		раскрыва'ть, раскрыва'етъ, раскрыва'йте	 
 	раскрываться		раскрыва'ться, раскрыва'ется, раскрыва'йтесь	 
 	раскрытие		раскры'тіе, раскры'тіемъ, при раскры'тіи	 
 	раскрыть		раскры'ть, раскро'етъ, раскро'йте	 
 	раскрыться		раскры'ться, раскро'ется, раскро'йтесь	 
 	раскряжёванный		раскряжёванный	 
 	раскуёт		раскуётъ	 
 	раскусить		раскуси'ть	 
 	расового		ра'соваго	 
 	расовое		ра'совое, ра'соваго, ра'совый	 
 	расовые		ра'совые (м. р.), ра'совыя (ж. р. и ср. р.)	 
 	распадётся		распадётся	 
 	распалённый		распалённый	 
 	распаренный		распа'ренный	 
 	распахнётесь		распахнётесь	 
 	распашонка		распашёнка	 
 	распевать		распѣва'ть	 
 	распекать		распека'ть	 
 	распёкший		распёкшій	 
 	распеленать		распелена'ть	 
 	распелёнатый		распелёнатый	 
 	распелёнутый		распелёнутый	 
 	распереть		распере'ть	 
 	распёртый		распёртый	 
 	распестрённый		распестрённый	 
 	распечатать		распеча'тать	 
 	распечённый		распечённый	 
 	распещрять		распещря'ть	 
 	распиленный		распи'ленный	 
 	расписание		расписа'ніе, росписа'ніе	 
 	расписка		распи'ска и роспи'ска, ро'спись	 
 	распитие		распи'тіе	 
 	распихнёт		распихнётъ	 
 	расплата		распла'та, къ распла'тѣ	 
 	расплеваться		расплева'ться	 
 	расплёвываться		расплёвываться	 
 	расплёлся		расплёлся	 
 	расплёсканный		расплёсканный	 
 	расплескать		расплеска'ть	 
 	расплёскивать		расплёскивать	 
 	расплёснутый		расплёснутый	 
 	расплести		расплести'	 
 	расплетать		расплета'ть	 
 	расплетённый		расплетённый	 
 	расплётшийся		расплётшійся	 
 	распложённый		распложённый	 
 	расплывёшься		расплывёшься	 
 	расплюёшься		расплюёшься	 
 	расплющенный		расплю'щенный	 
 	распнём		распнёмъ	 
 	распоётся		распоётся	 
