ра 	Рабле		Рабле'	^
 	репеёк		репеёкъ, репеёчекъ	 
 	репей		репе'й	 
 	репейник		репе'йникъ, репе'йничекъ	 
 	репертуар		репертуа'ръ	 
 	репетир		репети'ръ (приспособле'ніе въ карма'нныхъ часа'хъ, посре'дствомъ кото'раго отбива'ется пока'зываемое и'ми вре'мя)	 
 	репетитор		репети'торъ	 
 	репетиция		репети'ція	 
 	Репин		Рѣ'пинъ	 
 	репища		рѣ'пища (больша'я рѣ'па), но рѣ'пище (по'ле, засѣ'янное рѣ'пою)	 
 	репище		рѣ'пище (по'ле, засѣ'янное рѣ'пою)	 
 	репка		рѣ'пка	 
 	реплика		ре'плика	 
 	Репнин		Репни'нъ	 
 	реполов		реполо'въ (мали'новка)	 
 	репортаж		репорта'жъ, въ репорта'жѣ	 
 	репортёр		репортёръ	 
 	репрезентабельный		репрезента'бельный (представи'тельный)	 
 	репрессалии		репресса'ліи	 
 	репрессивного		репресси'внаго	 
 	репрессивное		репресси'вное	 
 	репрессивные		репресси'вные (м. р.), репресси'вныя (ж. р. и ср. р.)	 
 	репрессивный		репресси'вный, репресси'внаго	 
 	репрессия		репре'ссія, репре'ссіи	 
 	репрессор		репре'ссоръ	 
 	реприманд		реприма'ндъ (упрёкъ, вы'говоръ)	 
 	репродукция		репроду'кція	 
 	репс		ре'псъ (ру'бчатая про'чная, то'лстая мате'рія)	 
 	рептилия		репти'лія (пресмыка'ющіяся)	 
 	репутация		репута'ція	 
 	Рерих		Ре'рихъ (не Рёрихъ!)	 
 	Рёскин		Рёскинъ	 
 	рескрипт		рескри'птъ (письмо' госуда'ря къ по'дданному, обыкнове'нно сопровожда'ющее но'вое назначе'ніе, награ'ду)	 
 	ресницы		рѣсни'цы, рѣсни'ца, рѣсни'цей, на рѣсни'цахъ	 
 	ресничка		рѣсни'чка	 
 	респектабельный		респекта'бельный	 
 	респиратор		респира'торъ	 
 	республика		респу'блика, въ респу'бликѣ	 
 	рессора		рессо'ра	 
 	реставратор		реставра'торъ	 
 	реставрация		реставра'ція	 
 	реставрировать		реставри'ровать, реставри'руешь	 
 	реституция		реститу'ція (возстановле'ніе, возобновле'ніе утра'ченныхъ си'лъ, здоро'вья)	 
 	ресторан		рестора'нъ, въ рестора'нѣ	 
 	ресторатор		рестора'торъ	 
 	ресторация		рестора'ція (малоупотреби'тельное обозначе'ніе рестора'на ни'зшаго разря'да)	 
 	ресурс		ресу'рсъ	 
 	ресурсоёмкий		ресурсоёмкій	 
 	ретивый		рети'вый	 
 	Ретийские Альпы		Реті'йскія А'льпы	 
 	ретикулёз		ретикулёзъ	 
 	ретирада		ретира'да (отступле'ніе)	 
 	ретироваться		ретирова'ться (отступи'ть)	 
 	реторта		рето'рта	 
 	ретракция		ретра'кція	 
 	ретраншемент		ретраншеме'нтъ (втори'чныя прегра'ды внутри' укрѣпле'ній)	 
 	ретратта		ретра'тта	 
 	ретроград		ретрогра'дъ (то же, что реакціоне'ръ)	 
 	ретроспектива		ретроспекти'ва (взгля'дъ въ про'шлое, обозрѣ'ніе того', что бы'ло въ про'шломъ)	 
 	ретушёванный		ретушёванный	 
 	ретушёр		ретушёръ	 
 	ретушировать		ретуши'ровать	 
 	ретушируем		ретуши'руемъ	 
 	ретушь		ре'тушь	 
 	реферат		рефера'тъ, въ рефера'тѣ (изложе'ніе су'щности но'ваго откры'тія въ о'бласти нау'ки и'ли иску'сства; отчётъ о но'вой кни'гѣ и'ли но'вомъ тече'ніи въ литерату'рѣ, обще'ственной жи'зни)	 
 	референдум		рефере'ндумъ, на рефере'ндумѣ (рѣше'ніе всео'бщимъ наро'днымъ голосова'ніемъ извѣ'стныхъ законода'тельныхъ вопро'совъ)	 
 	референт		рефере'нтъ	 
 	рефлекс		рефле'ксъ	 
 	рефлексия		рефле'ксія (мышле'ніе, имѣ'ющее свои'мъ предме'томъ само' себя')	 
 	рефлектёр		рефлектёръ	 
 	рефлектор		рефле'кторъ	 
 	реформа		рефо'рма, о рефо'рмѣ	 
 	реформатор		реформа'торъ	 
 	реформация		реформа'ція (измѣне'ніе чего'-либо; религіо'зныя преобразова'нія въ ду'хѣ протестанти'зма)	 
 	рефрактор		рефра'кторъ	 
 	рефракция		рефра'кція (преломле'ніе луче'й свѣ'та)	 
 	рефрен		рефре'нъ (припѣ'въ)	 
 	рехнёшься		рехнёшься	 
 	рехнуться		рехну'ться и ряхну'ться	 
 	рецензент		рецензе'нтъ	 
 	рецензия		реце'нзія (разбо'ръ и'ли оцѣ'нка теку'щихъ литерату'рныхъ и'ли театра'льныхъ нови'нокъ)	 
 	рецепт		реце'птъ	 
 	рецептор		реце'пторъ	 
 	рецептура		реце'птура	 
 	рецидив		рециди'въ (повторе'ніе)	 
 	реципиент		реципіе'нтъ	 
 	речёвка		рѣ'чёвка	 
 	речевой		рѣчево'й	 
 	речей		рѣче'й	 
 	речение		рече'ніе (типово'е выраже'ніе), не рѣче'ніе!	 
 	речённый		речённый, рече'нный (на'званный, э'тотъ са'мый), не рѣчённый!	 
 	речено		речено' (на'звано), не рѣчено'	 
 	реченька		рѣ'ченька, рѣчо'нка	 
 	речётся		речётся (называ'ется), не рѣчётся!	 
 	речистый		рѣчи'стый	 
 	речитатив		речитати'въ (деклама'ція въ пѣ'ніи), не речетати'въ!	 
 	Речица		Рѣ'чица	 
 	речка		рѣ'чка, въ рѣ'чкѣ	 
 	речушка		рѣчу'шка	 
 	речь		рѣчь (но отре'чься, изре'чь!), рѣче'й, рѣ'чью	 
 	Речь Посполитая		Рѣчь Посполи'тая (назва'ніе стари'нной По'льши, буква'льно зна'читъ — респу'блика)	 
 	решаем		рѣша'емъ, рѣша'емся	 
 	решаемо		рѣша'емо	 
 	решаемые		рѣша'емые (м. р.), рѣша'емыя (ж. р. и ср. р.)	 
 	решаемый		рѣша'емый, рѣша'емымъ	 
 	решает		рѣша'етъ, рѣша'ется	 
 	решается		рѣша'ется, рѣша'ются	 
 	решаешь		рѣша'ешь, рѣша'ютъ, рѣша'емъ, рѣша'етъ, рѣша'ешься	 
 	решай		рѣша'й, рѣша'йся	 
 	решал		рѣша'лъ, рѣша'лся	 
 	решала		рѣша'ла, рѣша'лась	 
 	решали		рѣша'ли, рѣша'лись	 
 	решать		рѣша'ть, рѣша'ться	 
 	решаться		рѣша'ться	 
 	решаю		рѣша'ю, рѣша'юсь	 
 	решают		рѣша'ютъ, рѣша'ются	 
 	решён		рѣшёнъ	 
 	решение		рѣше'ніе, о рѣше'ніи	 
 	решённые		рѣшённые (м. р.), рѣшённыя (ж. р. и ср. р.)	 
 	решённый		рѣшённый, рѣшёнными, рѣшённыхъ	 
 	решено		рѣшено', рѣшена', рѣшены'	 
 	решётка		рѣшётка, на рѣшёткѣ	 
 	решетник		рѣше'тникъ (сортъ лѣ'са, иду'щій на обрѣшётку стропи'лъ подъ кры'шу)	 
 	Решетников		Рѣше'тниковъ	 
 	решето		рѣшето' и решето', рѣшёта, въ рѣшетѣ'	 
 	решёточка		рѣшёточка	 
 	решётчатый		рѣшётчатый	 
 	решечённый		рѣшечённый	 
 	решил		рѣши'лъ, рѣши'ла, рѣши'ли, рѣши'ло	 
 	решимость		рѣши'мость, съ рѣши'мостью	 
 	решит		рѣши'тъ, рѣши'те, рѣши'мъ, рѣши'шь, рѣша'тъ	 
 	решительнее		рѣши'тельнѣе (бо'лѣе рѣши'тельно)	 
 	решительно		рѣши'тельно	 
 	решительного		рѣши'тельнаго	 
 	решительное		рѣши'тельное	 
 	решительность		рѣши'тельность	 
 	решительный		рѣши'тельный, рѣши'тельнаго	 
 	решительные		рѣши'тельные (м. р.), рѣши'тельныя (ж. р. и ср. р.)	 
 	решить		рѣши'ть	 
 	решиться		рѣши'ться	 
 	решка		ре'шка (сторона' моне'ты, орёлъ и'ли ре'шка)	 
 	Решт		Ре'штъ	 
 	рещи		рещи' (говори'ть) — уcтap., реку', речёшь, реку'тъ, рекъ и рёкъ, рекла'; рече'ніе, речённый	 
 	рея		ре'я (ж. р. то же, что ре'й), ре'и, на ре'яхъ, ре'ямъ, на ре'ѣ	 
 	Рея		Ре'я	 
 	реять		рѣ'ять и ре'ять (пари'ть, ри'нуться), рѣ'етъ и ре'етъ	 
рж 	ржаветь		ржавѣ'ть, ржавле'ніе, ржавѣ'етъ	^
 	ржавое		ржа'вое	 
 	ржанец		ржане'цъ (наро'дное назва'ніе нѣ'сколькихъ расте'ній изъ семе'йства зла'ковъ: ежи', пыре'я, тимоЏе'евки и др.)	 
 	ржание		ржа'ніе, ржа'ніемъ	 
 	ржаной		ржано'й, ржано'го	 
 	ржаные		ржаны'е (м. р.), ржаны'я (ж. р. и ср. р.)	 
 	Ржев		Рже'въ, въ Рже'вѣ	 
 	Ржевский		Рже'вскій (пору'чикъ :), Рже'вскаго	 
 	Ржевуский		Ржеву'скій	 
 	ржёте		ржёте	 
 	Ржищев		Ржи'щевъ	 
ри 	Ривьера		Ривье'ра	^
 	Ригель		Ри'гель	 
 	рикошет		рикоше'тъ, при рикоше'тѣ	 
 	римесса		риме'сса (упла'та за полу'ченный това'ръ, въ осо'бенности векселя'ми и други'ми бума'жными цѣ'нностями)	 
 	римляне		ри'мляне	 
 	римские		ри'мскіе (м. р.), ри'мскія (ж. р. и ср. р.)	 
 	Римский-Корсаков		Ри'мскій-Ко'рсаковъ	 
 	римского		ри'мскаго	 
 	римское		ри'мское	 
 	Рио-Гранде		Рі'о-Гра'нде	 
 	Рио-де-Жанейро		Рі'о-де-Жане'йро	 
 	Рион		Ріо'нъ	 
 	Рио-Негро		Рі'о-Не'гро	 
 	риск		рискъ (предпрія'тіе), рыскъ (ско'рый бѣгъ)	 
 	рискнёте		рискнёте	 
 	рисование		рисова'ніе	 
 	рисованное		рисо'ванное	 
 	рисованные		рисо'ванные (м. р.), рисо'ванныя (ж. р. и ср. р.)	 
 	рисовое		ри'совое	 
 	рисовые		ри'совые (м. р.), ри'совыя (ж. р. и ср. р.)	 
 	ристалище		риста'лище (аре'на для бѣ'га лошаде'й и колесни'цъ)	 
 	рисунок		рису'нокъ, на рису'нкѣ	 
 	ритм		ритмъ, въ ри'тмѣ	 
 	ритмический		ритми'ческій, ритми'чный	 
 	ритор		ри'торъ и ре'торъ	 
 	риторика		рито'рика и рето'рика (тео'рія краснорѣ'чія; нау'ка объ основа'ніяхъ и пра'вилахъ иску'снаго ора'торскаго изложе'нія)	 
 	риторический		ритори'ческій и ретори'ческій	 
 	Риттер		Ри'ттеръ	 
 	ритуальные		ритуа'льные (м. р.), ритуа'льныя (ж. р. и ср. р.)	 
 	ритурнель		ритурне'ль (небольшо'й инструмента'льный отры'вокъ, предше'ствующій, заключа'ющій и'ли выполня'ющій па'узу вока'льнаго произведе'нія)	 
 	риф		рифъ, ри'фы (подво'дныя ска'лы; завя'зки на паруса'хъ — бра'ть ри'фы), ри'фить (паруса')	 
 	рифление		рифле'ниіе	 
 	рифлёный		рифлёный	 
 	рифли		ри'фли, ри'флей, ри'флями (боро'здки рифле'нія)	 
 	рифма		ри'ѳма	 
 	рифмоплёт		риѳмоплётъ	 
 	Рицимер		Рициме'ръ	 
 	Ришелье		Ришелье'	 
ро 	Роберваль		Роберва'ль	^
 	Роберт		Ро'бертъ	 
 	Робертсон		Робертсо'нъ	 
 	Робеспьер		Робеспье'ръ	 
 	робеет		робѣ'етъ, робѣ'ете, робѣ'емъ, робѣ'ешь, робѣ'ютъ	 
 	робейте		робѣ'йте, не робѣ'йте	 
 	робеть		робѣ'ть	 
 	робею		робѣ'ю, не робѣ'й	 
 	робея		робѣ'я	 
 	робкие		ро'бкіе (м. р.), ро'бкія (ж. р. и ср. р.)	 
 	робкий		ро'бкій, ро'бкаго	 
 	робкое		ро'бкое	 
 	робче		ро'бче (стыдли'вѣе, бо'лѣе ро'бко)	 
 	ровесник		рове'сникъ (не рове'стникъ!)	 
 	ровесница		рове'сница	 
 	ровнёхонек		ровнёхонекъ	 
 	ровнёшенек		ровнёшенекъ	 
 	ровнять		ровня'ть (дѣ'лать ро'внымъ), ровня'етъ	 
 	Рогачёв		Рогачо'въ	 
 	Рогнеда		Рогнѣ'да	 
 	рогожа		рого'жа (гру'бая плетёная ткань изъ моча'льныхъ ле'нтъ)	 
 	рогожка		рого'жка (хлопча'то-бума'жная ткань, имѣ'ющая видъ ме'лко-плетёной рого'жи)	 
 	рогоносец		рогоно'сецъ (мужъ, кото'рому измѣня'етъ жена')	 
 	Роджерс		Родже'рсъ	 
 	родина		ро'дина, на ро'динѣ, измѣ'на ро'динѣ	 
 	Родион		Родіо'нъ (не Радіо'нъ!), Иродіо'нъ	 
 	родит		роди'тъ	 
 	родите		роди'те	 
 	родителей		роди'телей	 
 	родители		роди'тели	 
 	родитель		роди'тель	 
 	родительница		роди'тельница	 
 	родителям		роди'телямъ, роди'телями, о роди'теляхъ	 
 	родич		ро'дичъ, ро'дичи, ро'дичей, ро'дичемъ	 
 	роднее		роднѣ'е	 
 	роднёй		роднёй	 
 	роднейший		роднѣ'йшій	 
 	родненький		ро'дненькій	 
 	родное		родно'е, роднѣ'е	 
 	родной		родно'й, родно'го, родно'е, роднѣ'е	 
 	родные		родны'е (м. р.), родны'я (ж. р. и ср. р.)	 
 	родня		родня', о роднѣ'	 
 	родовспоможение		родовспоможе'ніе	 
 	рододендрон		рододе'ндронъ	 
 	родственник		ро'дственникъ	 
 	родственного		ро'дственнаго	 
 	родственное		ро'дственное	 
 	родственные		ро'дственные (м. р.), ро'дственныя (ж. р. и ср. р.)	 
 	родственный		ро'дственный, ро'дственнаго, ро'дствененъ	 
 	родство		родство', въ родствѣ'; Ива'нь, не по'мнящій родства'	 
 	роение		рое'ніе (вы'летъ изъ у'лья ча'сти пчёлъ съ молодо'ю ма'ткою)	 
 	роет		ро'етъ (рыть)	 
 	рождаем		рожда'емъ и ражда'емъ	 
 	рождаемое		рожда'емое и ражда'емое	 
 	рождаемом		рожда'емомъ и ражда'емомъ	 
 	рождаемость		рожда'емость и ражда'емость	 
 	рождаемые		рожда'емые и ражда'емые (м. р.), рожда'емыя и ражда'емыя (ж. р. и ср. р.)	 
 	рождаемый		рожда'емый и ражда'емый	 
 	рождает		рожда'етъ и ражда'етъ	 
 	рождается		рожда'ется и ражда'ется	 
 	рождал		рожда'лъ и ражда'лъ	 
 	рождала		рожда'ла и ражда'ла	 
 	рождали		рожда'ли и ражда'ли	 
 	рождало		рожда'ло и ражда'ло	 
 	рождать		рожда'ть и ражда'ть, роди'ть, рожде'ніе	 
 	рождение		рожде'ніе, съ днёмъ рожде'нія	 
 	рождённого		рождённаго	 
 	рождённое		рождённое	 
 	рождённые		рождённые (м. р.), рождённыя (ж. р. и ср. р.)	 
 	рождённый		рождённый, рождённаго	 
 	рождественский		рожде'ственскій	 
 	Рождество		Рождество' (пра'здникъ), съ Рождество'мъ Христо'вымъ	 
 	рожечник		роже'чникъ (музыка'нтъ, уча'ствующій въ хо'рѣ рогово'й му'зыки)	 
 	рожок		рожо'къ, рожёкъ, роже'чникъ	 
 	рожь		ро'жь	 
 	розанель		розане'ль (то же, что гера'ніевое ма'сло)	 
 	розвалень		ро'звалень (у'валень, человѣ'къ съ неуклю'жей, мѣшкова'той похо'дкой)	 
 	розвальни		ро'звальни (родъ сане'й съ расши'ренною сза'ди ве'рхнею ча'стью)	 
 	розговенье		ро'зговѣнье и разговѣ'ніе (пе'рвый де'нь по'слѣ поста', въ кото'рый разрѣша'ется ѣ'сть скоро'мное, та'кже са'мая тра'пеза въ э'тотъ де'нь)	 
 	роздал		ро'здалъ, ро'зданный (отъ разда'ть)	 
 	Розенгейм		Розенге'ймъ	 
 	розет		розетъ (алма'зъ, пло'скій сни'зу и огранённый то'лько све'рху)	 
 	розетка		розе'тка	 
 	розлил		ро'злилъ	 
 	рознь		ро'знь	 
 	розовое		ро'зовое	 
 	розовощёкий		розовощёкій	 
 	розыгрыш		ро'зыгрышъ (ра'нѣе — ро'зъигрышъ)	 
 	розыск		ро'зыскъ, ра'нѣе — ро'зъискъ (дре'вне-ру'сскій юриди'ческій те'рминъ, то же, что дозна'ніе, сы'скъ)	 
 	ролевая		ролева'я	 
 	ролевой		ролево'й	 
 	ролевые		ролевы'е (м. р.), ролевы'я (ж. р. и ср. р.)	 
 	Роллен		Ролле'нъ	 
 	роль		роль, роле'й	 
 	роман		рома'нъ, въ рома'нѣ	 
 	романеска		романе'ска (назва'ніе италья'нскаго наро'днаго та'нца, бы'вшаго въ большо'мъ употребле'ніи въ XVI вѣ'кѣ)	 
 	романея		романея (стари'нное назва'ніе сла'дкой насто'йки на заграни'чномъ винѣ')	 
 	романсеро		романсе'ро (кни'га рома'нсовъ; преиму'щественно сбо'рникъ стари'нныхъ испа'нскихъ наро'дныхъ пѣ'сенъ)	 
 	романтические		романти'ческіе (м. р.), романти'ческія (ж. р. и ср. р.)	 
 	романтический		романти'ческій, романти'ческаго	 
 	романтического		романти'ческаго	 
 	романтическое		романти'ческое	 
 	Ромео и Джульетта		Роме'о и Джулье'тта	 
 	роняет		роня'етъ, роня'емъ, роня'ешь	 
 	рослый		ро'слый, ро'слаго	 
 	росомаха		росома'ха и россома'ха (хи'щное живо'тное изъ семе'йства куни'цъ)	 
 	роспись		ро'спись	 
 	Россетти		Россе'тти	 
 	Россиены		Россіе'ны	 
 	Российская Империя		Россі'йская Импе'рія	 
 	российского		россі'йскаго	 
 	российской		россі'йской	 
 	российские		россі'йскіе (м. р.), россі'йскія (ж. р. и ср. р.)	 
 	российский		россі'йскій, россі'йскаго	 
 	Россия		Россі'я, въ Россі'и, Россі'ей, Россі'ю	 
 	россияне		россія'не	 
 	россиянин		россія'нинъ	 
 	россказни		ро'зсказни (разска'зъ, не внуша'ющій довѣ'рія, вы'думка)	 
 	Россмеслер		Россме'слеръ	 
 	россыпь		ро'зсыпь	 
 	ростбиф		ро'стбифъ (пригото'вленный по англі'йски — жа'реный на ве'ртелѣ быча'чій филе'й)	 
 	Ростислав		Ростисла'въ	 
 	Росцеллин		Росцелли'нъ	 
 	ротация		рота'ція (кругообра'зное движе'ніе)	 
 	ротище		роти'ще (большо'й ротъ)	 
 	ротмистр		ро'тмистръ (о'беръ-офице'рскій чинъ въ кавале'ріи; команди'ръ эскадро'на)	 
 	ротозей		ротозѣ'й	 
 	Роттенбург		Роттенбу'ргъ	 
 	Роттердам		Роттерда'мъ	 
 	Роузбери		Ро'зберри	 
 	Рочестер		Роче'стеръ	 
 	Рочдейл		Ро'чдель	 
 	рою		ро'ю, ро'ешь	 
рт 	Ртищевы		Рти'щевы	^
ру 	рубанёт		рубанётъ	^
 	рубаха		руба'ха, въ руба'хѣ, руба'ха-па'рень	 
 	рубашечка		руба'шечка, въ руба'шечкѣ	 
 	рубашка		руба'шка, въ руба'шкѣ	 
 	рубеж		рубе'жъ, на рубежѣ'	 
 	рубель		рубе'ль (валёкъ для бѣлья'), рубеля', рубеле'й	 
 	Рубенс		Ру'бенсъ	 
 	рубероид		руберо'йдъ (й!)	 
 	рубец		рубе'цъ	 
 	Рубинштейн		Рубинште'йнъ	 
 	рубище		ру'бище, въ ру'бищѣ (ве'тхая, рва'ная оде'жда у ни'щихъ, блаже'нныхъ, юро'дивыхъ и'ли раска'явшихся, отказа'вшихся отъ жи'зненныхъ бла'гъ, удово'льствій)	 
 	Рублёв		Рублёвъ	 
 	рублёвик		рублёвикъ	 
 	рублёвка		рублёвка	 
 	рублёвый		рублёвый	 
 	рублей		рубле'й	 
 	рублём		рублёмъ	 
 	рубленный		ру'бленный	 
 	рубленый		ру'бленый	 
 	рубль		рубль, рубле'й	 
 	рубцевание		рубцева'ніе	 
 	ругаем		руга'емъ	 
 	ругаемся		руга'емся	 
 	ругает		руга'етъ	 
 	ругается		руга'ется	 
 	ругаешь		руга'ешь	 
 	ругаешься		руга'ешься	 
 	ругательство		руга'тельство	 
 	ругнётся		ругнётся	 
 	руготнёй		руготнёй	 
 	рудоподъёмный		рудоподъёмный	 
 	Руже-де-Лиль		Руже'-де-Лиль	 
 	ружейный		руже'йный	 
 	ружьё		ружьё, на ружьѣ', о ружьѣ', въ ружьё	 
 	ружьецо		ружьецо'	 
 	рука		рука', въ рукѣ'	 
 	рукавец		рука'вецъ	 
 	рукавица		рукави'ца	 
 	рукоблудие		рукоблудіе (то же, что онани'змъ)	 
 	руководитель		руководи'тель	 
 	руководить		руководи'ть	 
 	руководство		руково'дство	 
 	рукоделие		рукодѣ'ліе	 
 	рукодельница		рукодѣ'льница	 
 	рукодельничать		рукодѣ'льничать	 
 	рукодельного		рукодѣ'льнаго	 
 	рукодельное		рукодѣ'льное	 
 	рукодельные		рукодѣ'льные (м. р.), рукодѣ'льныя (ж. р. и ср. р.)	 
 	рукодельный		рукодѣ'льный, рукодѣ'льнаго	 
 	рукомойник		рукомо'йникъ	 
 	рукопись		ру'копись	 
 	рукоплескать		рукоплеска'ть	 
 	рукополагать		рукополага'ть	 
 	рукоположение		рукоположе'ніе (посвяще'ніе въ духо'вный са'нъ діа'кона, свяще'нника и епи'скопа)	 
 	рукоположённый		рукоположённый	 
 	рукоприкладство		рукоприкла'дство (собственнору'чная по'дпись и'ли приложе'ніе именно'й печа'ти подъ докуме'нтомъ)	 
 	рулевой		рулево'й	 
 	рулёжка		рулёжка	 
 	рулёк		рулёкъ	 
 	рулём		рулёмъ	 
 	рулет		руле'тъ (мя'со, свёрнутое на подо'біе колбасы'; больша'я котле'та съ фа'ршемъ)	 
 	рулетка		руле'тка (аза'ртная игра'; мѣ'рная ле'нта въ футля'рѣ)	 
 	руль		руль, на рулѣ'	 
 	Румелия		Руме'лія	 
 	румпель		ру'мпель (осо'бый рыча'гъ, слу'жащій для повора'чиванія руля')	 
 	Румыния		Румы'нія	 
 	румяна		румя'на (кра'сныя вещества' для подкра'шиванія ко'жи)	 
 	румянец		румя'нецъ	 
 	румянощёкий		румянощёкій	 
 	Румянцев		Румя'нцевъ	 
 	рупия		ру'пія (остъ-и'ндская сере'бряная и золота'я моне'та), ру'піи, ру'пій	 
 	русификация		руссифика'ція	 
 	русофобия		русофо'бія (непрія'знь къ ру'сскому наро'ду, Россі'и)	 
 	русские		ру'сскіе (наро'дъ)	 
 	русские		ру'сскіе (м. р.), ру'сскія (ж. р. и ср. р.)	 
 	русский		ру'сскій, ру'сскаго, по-ру'сски	 
 	русского		ру'сскаго	 
 	русско-японская		ру'сско-япо'нская война'	 
 	русское		ру'сское	 
 	Руставели		Руставе'ли (не Руставе'лли!)	 
 	Рустем		Русте'мъ	 
 	Русь		Русь	 
 	рутинёр		рутинёръ (человѣ'къ, во всёмъ приде'рживающійся разъ усво'енныхъ на'выковъ, пріобрѣтённыхъ путёмъ ча'стаго упражне'нія)	 
 	Руф		Руфъ	 
 	Руфин		Руфи'нъ	 
 	Руфь		Руѳь	 
 	рухлядь		ру'хлядь	 
 	ручаемся		руча'емся	 
 	ручаетесь		руча'етесь	 
 	ручается		руча'ется, руча'ться	 
 	ручаешься		руча'ешься	 
 	ручательство		руча'тельство	 
 	ручеёк		ручеёкъ, въ ручейкѣ'	 
 	ручеёчек		ручеёчекъ, въ ручеёчкѣ	 
 	ручей		руче'й, въ ручьѣ', ручьёмъ, ручьёвъ	 
 	ручейка		ручейка'	 
 	ручейник		руче'йникъ	 
 	ручейный		руче'йный	 
 	рученька		ру'ченька	 
 	ручечка		ру'чечка	 
 	ручища		ручи'ща, въ ручи'щѣ, ручи'щей	 
 	ручное		ручно'е	 
 	ручные		ручны'е (м. р.), ручны'я (ж. р. и ср. р.)	 
 	ручонка		ручо'нка	 
 	ручьём		ручьёмъ	 
рц 	рцы		Р — рцы' — семна'дцатая бу'ква ру'сской а'збуки	^
ры 	рыба		ры'ба, о ры'бѣ	^
 	рыбак		рыба'къ, о рыбакѣ'	 
 	рыбалка		рыба'лка, на рыба'лкѣ	 
 	рыбацкий		рыба'цкій, рыба'цкаго, рыба'цкое	 
 	рыбец		рыбе'цъ (то же, что сы'рть — ры'ба изъ семе'йства ка'рповыхъ)	 
 	рыбёшка		рыбёшка	 
 	рыбий		ры'бій (жи'ръ, кле'й и т. п.), ры'бьяго	 
 	рыбка		ры'бка, о ры'бкѣ	 
 	рыбление		рыбле'ніе льна (отдѣле'ніе голо'вокъ льна отъ стебле'й осо'бымъ гре'бнемъ)	 
 	рыбного		ры'бнаго	 
 	рыбное		ры'бное, ры'бнаго	 
 	рыбные		ры'бные (м. р.), ры'бныя (ж. р. и ср. р.)	 
 	рыбный		ры'бный, ры'бнаго	 
 	рыбоподъёмный		рыбоподъёмный	 
 	рыбоприёмный		рыбопріёмный	 
 	рыбьего		ры'бьяго	 
 	рыгнёшь		рыгнёшь	 
 	рыдает		рыда'етъ, рыда'ете, рыда'емъ, рыда'ешь	 
 	рыжеволосый		рыжеволо'сый	 
 	рыжего		ры'жаго	 
 	рыжее		ры'жее, но рыжѣ'е (бо'лѣе ры'жее)	 
 	рыженький		ры'женькій, рыжѣ'ть	 
 	рыжеть		рыжѣ'ть, ры'женькій	 
 	рыжешёрстый		рыжешёрстый	 
 	рыжие		ры'жіе (м. р.), ры'жія (ж. р. и ср. р.)	 
 	рыжий		ры'жій, на ры'жемъ (не ры'жый!)	 
 	рыкнёшь		рыкнёшь	 
 	Рылеев		Рылѣ'евъ	 
 	рыльце		ры'льце	 
 	рынок		ры'нокъ, на ры'нкѣ	 
 	рыночное		ры'ночное, ры'ночнаго	 
 	рыночные		ры'ночные (м. р.), ры'ночныя (ж. р. и ср. р.)	 
 	рысёнок		рысёнокъ	 
 	рытьё		рытьё, рытьёмъ	 
 	рыхлённый		рыхлённый	 
 	рыцарем		ры'царемъ	 
 	рыцарское		ры'царское	 
 	рыцарские		ры'царскіе (м. р.), ры'царскія (ж. р. и ср. р.)	 
 	рыцарский		ры'царскій, ры'царскаго	 
 	рыщет		ры'щетъ	 
рь 	рьяный		рья'ный, рья'наго	^
рю 	Рюккерт		Рю'ккертъ	^
 	Рюмелин		Рюмели'нъ	 
 	рюшевый		рю'шевый	 
ря 	рябенький		ря'бенькій	^
 	рябец		рябе'цъ (лунь)	 
 	рябина		ряби'на	 
 	рябчик		ря'бчикъ (видъ те'терева)	 
 	ряд		рядъ — подъ рядъ, на ряду'...	 
 	рядно		рядно', вере'тье	 
 	ряженье		ря'женье (переодѣва'нье, маскирова'ніе во вре'мя свя'токъ)	 
 	ряженый		ря'женый	 
 	рясофор		рясофо'ръ (мона'хъ пе'рвой сте'пени постриже'нія, получи'вшій пра'во носи'ть ря'су и камила'вку)
